# HTM
# based on http://www.htm.net/smartsite.dws?id=NAVIGATIE&kaarttype=0&halte_ids=1,2,3,4,...
# and google geocoding api administrative_area_level_2
company	ovcid	city             	name
3	31212	Den Haag              	Goudenregenplein
3	31213	Den Haag              	Zonnebloemstraat
3	31214	Den Haag              	Zonnebloemstraat
3	31217	Den Haag              	Azaleaplein
3	31218	Den Haag              	Azaleaplein
3	31301	Den Haag              	Doctor van Welylaan
3	31302	Den Haag              	Doctor van Welylaan
3	31303	Den Haag              	Kruisbeklaan
3	31304	Den Haag              	Kruisbeklaan
3	31305	Den Haag              	Oude Buizerdlaan
3	31306	Den Haag              	Oude Buizerdlaan
3	31307	Den Haag              	Vliegenvangerlaan
3	31308	Den Haag              	Vliegenvangerlaan
3	31403	Den Haag              	Muurbloemweg
3	31404	Den Haag              	Muurbloemweg
3	31405	Den Haag              	Arabislaan
3	31406	Den Haag              	Arabislaan
3	31407	Den Haag              	de Savornin Lohmanlaan
3	31408	Den Haag              	de Savornin Lohmanlaan
3	31411	Den Haag              	Aronskelkweg
3	31412	Den Haag              	Aronskelkweg
3	31415	Den Haag              	Muurbloemweg
3	31416	Den Haag              	Muurbloemweg
3	31417	Den Haag              	Lobelialaan
3	31418	Den Haag              	Lobelialaan
3	31419	Den Haag              	de Savornin Lohmanplein
3	31420	Den Haag              	de Savornin Lohmanplein
3	31421	Den Haag              	Hoefbladlaan
3	31422	Den Haag              	Hoefbladlaan
3	31423	Den Haag              	Hoefbladlaan
3	31424	Den Haag              	Hoefbladlaan
3	31425	Den Haag              	Teunisbloemplein
3	31426	Den Haag              	Teunisbloemplein
3	31427	Den Haag              	de Savornin Lohmanplein
3	31502	Den Haag              	Kijkduin
3	31504	Den Haag              	Kijkduin Strand
3	31506	Den Haag              	Kijkduin Strand
3	31508	Den Haag              	Kijkduinsestraat
3	31514	Den Haag              	Kijkduinsestraat
3	31516	Den Haag              	Kijkduinsestraat
3	31601	Den Haag              	Kraayensteinlaan
3	31602	Den Haag              	Kraayensteinlaan
3	31671	Den Haag              	Kraayensteinlaan
3	31677	Den Haag              	Forellendaal
3	31707	Den Haag              	Loosduinse Hoofdstraat
3	31708	Den Haag              	Loosduinse Hoofdstraat
3	31709	Den Haag              	Burgemeester Hovylaan
3	31710	Den Haag              	Burgemeester Hovylaan
3	31711	Den Haag              	Kapelaan Meereboerweg
3	31712	Den Haag              	Kapelaan Meereboerweg
3	31715	Den Haag              	Houtwijklaan
3	31716	Den Haag              	Houtwijklaan
3	31717	Den Haag              	Dedemsvaartweg
3	31718	Den Haag              	Dedemsvaartweg
3	31719	Den Haag              	Albert Schweitzerlaan
3	31721	Den Haag              	Albert Schweitzerlaan
3	31772	Den Haag              	Zichtenburglaan
3	31801	Den Haag              	Heliotrooplaan
3	31802	Den Haag              	Heliotrooplaan
3	31805	Den Haag              	Pisuissestraat
3	31806	Den Haag              	Pisuissestraat
3	31808	Den Haag              	Groen van Prinstererlaan
3	31809	Den Haag              	Groen van Prinstererlaan
3	31810	Den Haag              	Buitentuinen
3	31811	Den Haag              	Buitentuinen
3	31812	Den Haag              	Mozartlaan
3	31813	Den Haag              	Mozartlaan
3	31818	Den Haag              	Arnold Spoelplein
3	31820	Den Haag              	Arnold Spoelplein
3	31821	Den Haag              	Arnold Spoelplein
3	31822	Den Haag              	Louis Armstrongplein
3	31823	Den Haag              	Louis Armstrongplein
3	31824	Den Haag              	Buitentuinen
3	31825	Den Haag              	Buitentuinen
3	31828	Den Haag              	Binnentuinen
3	31829	Den Haag              	Binnentuinen
3	31834	Den Haag              	Pisuissestraat
3	31835	Den Haag              	Pisuissestraat
3	31872	Den Haag              	Westduin
3	31873	Den Haag              	Westduin
3	31903	Den Haag              	Appelstraat
3	31904	Den Haag              	Appelstraat
3	31907	Den Haag              	Colijnplein
3	31908	Den Haag              	Colijnplein
3	31911	Den Haag              	Appelstraat
3	31912	Den Haag              	Appelstraat
3	31913	Den Haag              	Thorbeckelaan
3	31914	Den Haag              	Thorbeckelaan
3	31915	Den Haag              	Perenstraat
3	31916	Den Haag              	Perenstraat
3	31917	Den Haag              	Laan van Eik en Duinen
3	31918	Den Haag              	Laan van Eik en Duinen
3	31919	Den Haag              	Walnootstraat
3	31920	Den Haag              	Walnootstraat
3	31921	Den Haag              	Thorbeckelaan
3	31922	Den Haag              	Thorbeckelaan
3	31923	Den Haag              	Okkernootstraat
3	31924	Den Haag              	Okkernootstraat
3	32002	Den Haag              	Goudenregenstraat
3	32003	Den Haag              	Goudenregenstraat
3	32004	Den Haag              	Goudenregenstraat
3	32005	Den Haag              	Fahrenheitstraat
3	32006	Den Haag              	Fahrenheitstraat
3	32007	Den Haag              	Fahrenheitstraat
3	32008	Den Haag              	Fahrenheitstraat
3	32010	Den Haag              	Valkenbosplein
3	32011	Den Haag              	Valkenbosplein
3	32012	Den Haag              	Valkenbosplein
3	32013	Den Haag              	Valkenbosplein
3	32015	Den Haag              	Copernicusplein
3	32016	Den Haag              	Copernicusplein
3	32017	Den Haag              	Copernicusplein
3	32018	Den Haag              	Copernicusplein
3	32019	Den Haag              	Kamperfoeliestraat
3	32020	Den Haag              	Kamperfoeliestraat
3	32021	Den Haag              	Weimarstraat
3	32022	Den Haag              	Weimarstraat
3	32101	Den Haag              	Laan van Meerdervoort
3	32102	Den Haag              	Laan van Meerdervoort
3	32103	Den Haag              	Weimarstraat
3	32104	Den Haag              	Weimarstraat
3	32105	Den Haag              	Weimarstraat
3	32106	Den Haag              	Weimarstraat
3	32107	Den Haag              	Cartesiusstraat
3	32108	Den Haag              	Cartesiusstraat
3	32201	Den Haag              	Waldeck Pyrmontkade
3	32202	Den Haag              	Waldeck Pyrmontkade
3	32210	Den Haag              	Van Speijkstraat
3	32211	Den Haag              	Van Speijkstraat
3	32212	Den Haag              	Elandstraat
3	32213	Den Haag              	Elandstraat
3	32216	Den Haag              	Elandstraat
3	32217	Den Haag              	Elandstraat
3	32220	Den Haag              	Prins Hendrikstraat
3	32301	Den Haag              	Javastraat
3	32302	Den Haag              	Javastraat
3	32306	Den Haag              	Javastraat
3	32307	Den Haag              	Mauritskade
3	32308	Den Haag              	Mauritskade
3	32309	Den Haag              	Dr. Kuyperstraat
3	32310	Den Haag              	Dr. Kuyperstraat
3	32313	Den Haag              	Mauritskade
3	32401	Den Haag              	Malieveld
3	32403	Den Haag              	Malieveld
3	32501	Den Haag              	Overbosch
3	32502	Den Haag              	Overbosch
3	32503	Den Haag              	Reigersbergenweg
3	32504	Den Haag              	Reigersbergenweg
3	32505	Den Haag              	Barnsteenhorst
3	32506	Den Haag              	Barnsteenhorst
3	32507	Den Haag              	Saffierhorst
3	32508	Den Haag              	Saffierhorst
3	32509	Den Haag              	Carel Reinierszkade
3	32510	Den Haag              	Carel Reinierszkade
3	32513	Den Haag              	Reigersbergenweg
3	32514	Den Haag              	Reigersbergenweg
3	32515	Den Haag              	Vlamenburg
3	32516	Den Haag              	Vlamenburg
3	32517	Den Haag              	Hofzichtlaan
3	32518	Den Haag              	Hofzichtlaan
3	32519	Den Haag              	Het Kleine Loo
3	32520	Den Haag              	Het Kleine Loo
3	32521	Den Haag              	Margarethaland
3	32522	Den Haag              	Margarethaland
3	32523	Den Haag              	Margarethaland
3	32524	Den Haag              	Margarethaland
3	32525	Den Haag              	Station Mariahoeve
3	32526	Den Haag              	Station Mariahoeve
3	32531	Den Haag              	Reigersbergenweg
3	32532	Den Haag              	Aegonplein
3	32533	Den Haag              	Aegonplein
3	32601	Den Haag              	Centraal Station
3	32602	Den Haag              	Centraal Station
3	32603	Den Haag              	Centraal Station
3	32604	Den Haag              	Centraal Station
3	32605	Den Haag              	Centraal Station
3	32606	Den Haag              	Centraal Station
3	32607	Den Haag              	Centraal Station
3	32608	Den Haag              	Centraal Station
3	32609	Den Haag              	Centraal Station
3	32611	Den Haag              	Centraal Station
3	32612	Den Haag              	Centraal Station
3	32613	Den Haag              	Centraal Station
3	32614	Den Haag              	Centraal Station
3	32615	Den Haag              	Centraal Station
3	32616	Den Haag              	Centraal Station
3	32631	Den Haag              	Prins Clauslaan
3	32632	Den Haag              	Prins Clauslaan
3	32633	Den Haag              	Koningin Marialaan
3	32634	Den Haag              	Koningin Marialaan
3	32635	Den Haag              	Laan van Nieuw Oost Indie
3	32636	Den Haag              	Laan van Nieuw Oost Indie
3	32637	Den Haag              	Theresiastraat
3	32638	Den Haag              	Theresiastraat
3	32639	Den Haag              	Spaarwaterstraat
3	32640	Den Haag              	Spaarwaterstraat
3	32641	Den Haag              	De Eerensplein
3	32642	Den Haag              	De Eerensplein
3	32645	Den Haag              	Ternoot
3	32646	Den Haag              	Ternoot
3	32647	Den Haag              	Oostinje
3	32648	Den Haag              	Oostinje
3	32649	Den Haag              	Juliana van Stolberglaan
3	32650	Den Haag              	Juliana van Stolberglaan
3	32651	Den Haag              	Stuyvesantplein
3	32652	Den Haag              	Stuyvesantplein
3	32655	Den Haag              	Stuyvesantstraat
3	32656	Den Haag              	Stuyvesantstraat
3	32658	Den Haag              	Station Laan van NOI
3	32659	Den Haag              	Station Laan van NOI
3	32662	Den Haag              	Beatrixkwartier
3	32663	Den Haag              	Beatrixkwartier
3	32665	Den Haag              	Stuyvesantplein
3	32682	Den Haag              	Laan van NOI
3	32683	Den Haag              	Laan van NOI
3	32703	Den Haag              	Huijgenspark
3	32705	Den Haag              	Rijswijkseplein/Station HS
3	32706	Den Haag              	Rijswijkseplein/Station HS
3	32707	Den Haag              	Rijswijkseplein
3	32708	Den Haag              	Rijswijkseplein
3	32711	Den Haag              	Weteringplein
3	32712	Den Haag              	Weteringplein
3	32713	Den Haag              	Weteringkade
3	32714	Den Haag              	Weteringkade
3	32715	Den Haag              	Rijswijkseplein
3	32716	Den Haag              	Rijswijkseplein
3	32717	Den Haag              	Rijswijkseplein
3	32719	Den Haag              	Station Hollands Spoor
3	32720	Den Haag              	Station Hollands Spoor
3	32721	Den Haag              	Station Hollands Spoor
3	32724	Den Haag              	Station Hollands Spoor
3	32728	Den Haag              	Station Hollands Spoor
3	32730	Den Haag              	Station Hollands Spoor
3	32731	Den Haag              	Station Hollands Spoor
3	32801	Den Haag              	Noordwal
3	32802	Den Haag              	Noordwal
3	32803	Den Haag              	Kneuterdijk
3	32804	Den Haag              	Kneuterdijk
3	32805	Den Haag              	Buitenhof
3	32806	Den Haag              	Buitenhof
3	32810	Den Haag              	Malieveld
3	32811	Den Haag              	Malieveld
3	32812	Den Haag              	Korte Voorhout
3	32813	Den Haag              	Korte Voorhout
3	32818	Den Haag              	Gravenstraat
3	32819	Den Haag              	Gravenstraat
3	32820	Den Haag              	MCH Westeinde
3	32821	Den Haag              	Brouwersgracht
3	32822	Den Haag              	MCH Westeinde
3	32823	Den Haag              	Brouwersgracht
3	32824	Den Haag              	Brouwersgracht
3	32825	Den Haag              	Brouwersgracht
3	32826	Den Haag              	Brouwersgracht
3	32828	Den Haag              	Grote Markt
3	32832	Den Haag              	Centrum
3	32833	Den Haag              	Centrum
3	32845	Den Haag              	Amsterdamse Veerkade
3	32846	Den Haag              	Amsterdamse Veerkade
3	32849	Den Haag              	Bierkade
3	32850	Den Haag              	Bierkade
3	32851	Den Haag              	Bierkade
3	32852	Den Haag              	Bierkade
3	32857	Den Haag              	Nieuwe Haven
3	32858	Den Haag              	Nieuwe Haven
3	32862	Den Haag              	Kalvermarkt-Stadhuis
3	32863	Den Haag              	Kalvermarkt-Stadhuis
3	32864	Den Haag              	Buitenhof
3	32864	Den Haag              	Centrum
3	32865	Den Haag              	Buitenhof
3	32865	Den Haag              	Centrum
3	32873	Den Haag              	Kneuterdijk
3	32874	Den Haag              	Kneuterdijk
3	32875	Den Haag              	Brouwersgracht
3	32880	Den Haag              	Spui
3	32881	Den Haag              	Spui
3	32882	Den Haag              	Grote Markt
3	32883	Den Haag              	Grote Markt
3	32901	Den Haag              	Loosduinseweg
3	32902	Den Haag              	Loosduinseweg
3	32903	Den Haag              	Monstersestraat
3	32904	Den Haag              	Monstersestraat
3	32908	Den Haag              	Delftselaan
3	32909	Den Haag              	Vaillantplein
3	32910	Den Haag              	Vaillantplein
3	32911	Den Haag              	Hobbemaplein
3	32912	Den Haag              	Hobbemaplein
3	32913	Den Haag              	Hobbemaplein
3	32914	Den Haag              	Hobbemaplein
3	32915	Den Haag              	Vaillantlaan
3	32916	Den Haag              	Vaillantlaan
3	32917	Den Haag              	Om en Bij
3	32918	Den Haag              	Om en Bij
3	32919	Den Haag              	Hoefkade
3	32920	Den Haag              	Hoefkade
3	32921	Den Haag              	Wouwermanstraat
3	32922	Den Haag              	Wouwermanstraat
3	32923	Den Haag              	Wouwermanstraat
3	32924	Den Haag              	Wouwermanstraat
